,id,category
122,588171e5abc6d64f42a624a2,Hot Dog Joint
123,4fd2c575e4b09c1656ea4f2d,Cupcake Shop
124,4b7c5cb4f964a520c78e2fe3,Donut Shop
125,59c2c0adbcbf7a7cb9470a59,Frozen Yogurt Shop
126,4ab5a467f964a520bb7520e3,Wings Joint
127,50f6caa4b0b9aa3a48bead1d,Mexican Restaurant
128,55ff12d3498e521acee34954,Lingerie Store
129,4b48b0e5f964a520f75226e3,Coffee Shop
130,4bb0e3f4f964a52031673ce3,Café
131,4d28d78dec272d430743364c,Wings Joint
132,55ff133a498ef47531a5ee74,Lingerie Store
133,58e59e95326c5a63b0258f21,Seafood Restaurant
134,4c2542a2f1272d7f158784c5,Cosmetics Shop
135,51c07d43b5896d0c80c52e46,Bakery
136,4b786813f964a520dfcb2ee3,Fast Food Restaurant
137,4c3699b02c8020a138b78700,Bank
138,4e52ca67aeb7560ca4b1e9a3,Mobile Phone Shop
139,4c115330d41e76b05034310d,Theater
140,4b6e555af964a520d3b82ce3,Grocery Store
141,4bec81e3b68520a1a13b1287,Mobile Phone Shop
142,4c4c957d5609c9b620b9c992,Ice Cream Shop
143,4dc077f20437a520e692565b,Sandwich Place
144,4c08046f9803952157f9c196,Record Shop
145,51e48c91498e006f01a3b38a,Mexican Restaurant
146,4d4b373292ca224b9d2832de,Supplement Shop
147,4c0ff8203ce120a1f952071c,Kids Store
148,4cf9a73220fe3704811b48f8,Sandwich Place
149,58140a2d38faca7f0b96e5da,Southern / Soul Food Restaurant
150,4e51739fd4c0b6da5d9a9c41,Accessories Store
151,4c1eb8d063750f47a639ba67,Video Game Store
152,4cd450e5aeb1224b63c61bff,Chinese Restaurant
153,54d57bd8498eb254aef70786,Mexican Restaurant
154,4b3c2cfff964a5209b8225e3,Pharmacy
155,533f02ad498eb3ee6b90de5d,Mobile Phone Shop
156,4b8b6ddbf964a5203e9f32e3,Diner
157,4f8c6c84e4b051f012786a3c,Indian Restaurant
158,4d83ef8ef9f3a1cd2182ab64,Insurance Office
159,5082be7ae4b052212e422629,Music Venue
160,4e4d26d8bd413c4cc66f0415,Pizza Place
161,4c538df6fd2ea59357139e28,Department Store
162,4c254370f7ced13ace50246d,Department Store
163,4cbcc11b4c60a0939d1d53ca,Fast Food Restaurant
164,4afa2f0ef964a5203a1722e3,Southern / Soul Food Restaurant
165,4b50d6e5f964a520a53427e3,Department Store
166,4e9f1a0277c80ac54c20c0a0,Paper / Office Supplies Store
167,4c29625b3492a593e7f0b828,Clothing Store
168,4b35299cf964a520d92a25e3,Pharmacy
169,4d45f7d24e5d370459fcfc93,Fast Food Restaurant
170,4c6dbbf9a437224ba1002eb1,Shoe Store
171,4c5dcba1d25320a11316c77a,Thrift / Vintage Store
172,4b4587cdf964a520ad0d26e3,Bar
173,4bfd3b7a4cf820a1711decf4,Gas Station
174,4c263403a852c928b227e66c,Sporting Goods Shop
175,4b64ae70f964a52008c82ae3,Shopping Mall
176,4c42604baf052d7f48f07e79,Breakfast Spot
177,4bc0f4694cdfc9b639d99321,Bank
178,4bb24c92715eef3bdc0a85bb,Food Truck
179,4c65fa847abde21ef17f6268,Asian Restaurant
180,5616f96f498ef3d2d735119e,Indoor Play Area
181,4cbc57b17a5d9eb06a6131e9,Fast Food Restaurant
182,4c0b13eb7e3fc92879d7f482,Clothing Store
183,4daba0f66e81162ae7f1d8db,Pharmacy
184,4de2a99c8877bcb6864a4ff5,Miscellaneous Shop
185,5986873d59c4233117615962,Clothing Store
186,58ae628172714f32e2b70eb5,Sandwich Place
187,4ce5d0da595cb1f7ebbab814,Furniture / Home Store
188,4d6337462f16b60ca011def4,Art Gallery
189,4b92bab3f964a520f71534e3,Japanese Restaurant
190,4cd864531647a09380a2e14c,Mexican Restaurant
191,5346d946498e9d5b4cf908b8,Rental Car Location
192,4e6a655618a83989ec7297c0,Rental Car Location
193,4bc92436cc8cd13a6438bbcf,Light Rail Station
194,4d7b233e34f7721e4375ad25,Taco Place
195,4c94daec0341370463c775ef,Park
196,4ba1437df964a52041a737e3,Gas Station
197,4dcd6ebf183899ddfab851a6,Kitchen Supply Store
198,4eb18e8f8231768562740adb,Paper / Office Supplies Store
199,4ed69423cc219d30cb801e6b,Cafeteria
200,4f3238a519836c91c7c21888,Convenience Store
201,4c52dd21b6dabe9a3ae9d713,Bus Station
202,4e4af65a7d8b6016b182f5dd,Seafood Restaurant
203,4f32c7ea19836c91c7f9e2d1,Concert Hall
204,4ee170089a521fcbeec0ce9c,Donut Shop
205,4f2ee9a6e4b040ea00c1dcca,Donut Shop
206,4bcc59a4937ca59355e7aa92,Light Rail Station
207,49baa706f964a52091531fe3,Park
208,559603c0498e0e9eb433fc86,Tea Room
209,4e7f4fe22c5bbc34f5209f59,Scenic Lookout
210,4c201dea920076b096dbc5e9,Mountain
211,4dd451fdae60a78cec543f2a,Scenic Lookout
212,54bc5a58498e764e8db8543c,Park
213,5504d8bd498e14264de9b1c5,Scenic Lookout
214,52d78af411d2d6de3dc0bd57,Skate Park
215,55ee4beb498e544c8296725a,Park
216,4bdca3242a3a0f4785beb3b6,Fast Food Restaurant
217,4f625f91e4b02da1e13d4a48,Trail
218,58055fb838fa7d61d66b6e31,Trail
219,5319fc3e498eb849e29336fd,Lawyer
220,4b7da45ef964a520b6cb2fe3,Office
221,52c5a9aa11d29c83801bb9b8,General Entertainment
222,4d3735b510248cfab4f18ccf,Café
223,4a027565f964a52054711fe3,Steakhouse
224,5b2a7a702db4a9002cdc5856,Grocery Store
225,4331f400f964a52006281fe3,Film Studio
226,546bf1c1498ee87b2082f8f4,Hot Dog Joint
227,4c33758116adc92899a8c39c,Museum
228,49d4fe3af964a5205e5c1fe3,Mexican Restaurant
229,4b65e7c9f964a5206d072be3,Office
230,4a5cfb59f964a520fabc1fe3,Laundry Service
231,4b4cddb9f964a52047c226e3,Café
232,4b464a20f964a520a71c26e3,Food Court
233,584b25653873037c450bb600,Café
234,4e496ec2d164a7c8b69a2228,General Entertainment
235,5236415711d239c3c8901d50,Coffee Shop
236,5486058c498e36974bb32e50,Sandwich Place
237,4f70d7bbe4b074c92942125b,Food Truck
238,572d3f9c498eb7385cea856b,Ramen Restaurant
239,4baa6c44f964a520b5683ae3,Movie Theater
240,5135029de4b07728288d341f,Italian Restaurant
241,4b7f0325f964a520411030e3,Cafeteria
242,4bfeeba7e584c92898716d25,Multiplex
243,4ae89c93f964a520d5b021e3,Theme Park Ride / Attraction
244,5466521d498eb1342cce7b75,American Restaurant
245,55b57671498ef70593bfd79a,Café
246,559c375b498e34c3d09114bd,Museum
247,5c2664a989e490002c95f317,Fast Food Restaurant
248,4b77080af964a52038762ee3,Coffee Shop
249,4b58cbeaf964a520a96b28e3,General Entertainment
250,4dbb23656e815ab0de63cf64,Mexican Restaurant
251,4ba667f1f964a520074f39e3,Breakfast Spot
252,4c33808f7cc0c9b6f1e8f19a,Museum
253,4ac26faff964a520239920e3,Thai Restaurant
254,57d19168498e467d7eaa8d55,Juice Bar
255,4a0e150df964a520c7751fe3,Burger Joint
256,4ab3ee5df964a520296f20e3,Italian Restaurant
257,4b980ca8f964a520d22835e3,Mexican Restaurant
258,4b74825ef964a520dfe02de3,Park
259,54025257498eae2180515f8d,Café
260,531cddd5498e5d7d308a8811,Health Food Store
261,52869068498e3289da674910,Coffee Shop
262,4ca9fbb1ae1eef3ba5783347,General Entertainment
263,4b0b4849f964a520de2f23e3,Gym / Fitness Center
264,4b2801c4f964a520988d24e3,Tennis Court
